coreid,identifier,accessURI
6668995,a45698dd-a9c8-41a1-83d5-f6ab71425d12,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089400.jpg
6668996,69915ec9-62d7-4d79-8402-8eccd6df0eae,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089401.jpg
6669004,8078384b-5f63-4759-90a1-d6ac70ddb0ce,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089411.jpg
6669005,d726a812-f3e3-4265-a855-c569fe8301b7,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089410.jpg
6669006,f0e70391-76ba-4450-9ded-b2266c8dca9c,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089409.jpg
6669007,25377dbe-f1fb-4a83-b88e-86343e724b04,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089408.jpg
6669008,d3254cc3-c7e4-407a-bdd8-c2bb81f28a63,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089403.jpg
6669009,22486bea-8f51-4a9d-b0a6-a1b3eb8e5c33,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089402.jpg
6669010,693307b4-d299-43d1-8c1c-3c8cee788c67,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089399.jpg
6669011,9b4d0904-a78c-4887-93ca-aa97d703277f,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089398.jpg
