id	class	maximumDepthInMeters	language	coordinatePrecision	decimalLatitude	family	identifiedBy	scientificNameAuthorship	stateProvince	group	order	type	decimalLongitude	occurrenceRemarks	collectionCode	formation	minimumDepthInMeters	institutionCode	genus	locality	recordNumber	phylum	dateIdentified	sex	otherCatalogNumbers	lifeStage	typeStatus	taxonRank	catalogNumber	minimumElevationInMeters	nomenclaturalStatus	references	kingdom	continent	member	waterBody	modified	informationWithheld	countryCode	eventDate	scientificName	fieldNotes	maximumElevationInMeters	recordedBy	identificationRemarks	verbatimEventDate	higherClassification	individualCount	bed	basisOfRecord	county	subgenus	country	preparations
urn:uuid:5017fa8c-fbb1-4ad2-8232-86cdad69013e	Insecta		en			Papilionidae		(Linnaeus, 1771)	GA		Lepidoptera	PreservedSpecimen						TTRS	Battus	Sherwood Plantation		Arthropoda		Male				Species			public	http://www.morphbank.net/586876	Animalia				2011-10-17 13:27:37.0		US		Battus philenor			L. Harris			Papilionidae Animalia Hexapoda Battina Lepidoptera Neoptera Battus philenor Troidini Arthropoda Papilionoidea Pterygota Papilioninae Battus Insecta			PreservedSpecimen	Grady		UNITED STATES	
urn:uuid:656131eb-f101-479f-b6f3-83c22c230c64	Insecta		en			Papilionidae		(Linnaeus, 1771)	GA		Lepidoptera	PreservedSpecimen						TTRS	Battus			Arthropoda		Male				Species			public	http://www.morphbank.net/586879	Animalia				2011-10-17 13:27:37.0		US		Battus philenor			Inae Harris			Papilionidae Animalia Hexapoda Battina Lepidoptera Neoptera Battus philenor Troidini Arthropoda Papilionoidea Pterygota Papilioninae Battus Insecta			PreservedSpecimen	Grady		UNITED STATES	
urn:uuid:25677778-299b-4ec9-92ba-71ea1b18edf7	Insecta		en			Papilionidae		(Linnaeus, 1771)	GA		Lepidoptera	PreservedSpecimen						TTRS	Battus			Arthropoda		Male				Species			public	http://www.morphbank.net/586882	Animalia				2011-10-17 13:27:37.0		US		Battus philenor			L Harris			Papilionidae Animalia Hexapoda Battina Lepidoptera Neoptera Battus philenor Troidini Arthropoda Papilionoidea Pterygota Papilioninae Battus Insecta			PreservedSpecimen	Grady		UNITED STATES	
urn:uuid:c7f34b58-e095-4b9f-b30b-ba4f5d2faad9	Insecta		en			Papilionidae		(Linnaeus, 1771)	GA		Lepidoptera	PreservedSpecimen						TTRS	Battus	Atlanta		Arthropoda		Female				Species			public	http://www.morphbank.net/586885	Animalia				2011-10-17 13:27:37.0		US		Battus philenor			Lucien Harrris,Jr			Papilionidae Animalia Hexapoda Battina Lepidoptera Neoptera Battus philenor Troidini Arthropoda Papilionoidea Pterygota Papilioninae Battus Insecta			PreservedSpecimen			UNITED STATES	
urn:uuid:cf5e6e6f-2851-48ec-bb6f-c2efd02f4576	Insecta		en			Papilionidae		(Linnaeus, 1771)	GA		Lepidoptera	PreservedSpecimen						TTRS	Battus	near Marietta		Arthropoda						Species			public	http://www.morphbank.net/586888	Animalia				2011-10-17 13:27:37.0		US		Battus philenor			Lucien Harris			Papilionidae Animalia Hexapoda Battina Lepidoptera Neoptera Battus philenor Troidini Arthropoda Papilionoidea Pterygota Papilioninae Battus Insecta			PreservedSpecimen	Cobb		UNITED STATES	
urn:uuid:d05933be-1839-4393-917d-2122b0ad7c2e	Insecta		en			Papilionidae		(Linnaeus, 1771)	GA		Lepidoptera	PreservedSpecimen						TTRS	Battus	Atlanta		Arthropoda		Female				Species			public	http://www.morphbank.net/586891	Animalia				2011-10-17 13:27:37.0		US		Battus philenor			Lucien Harris Jr			Papilionidae Animalia Hexapoda Battina Lepidoptera Neoptera Battus philenor Troidini Arthropoda Papilionoidea Pterygota Papilioninae Battus Insecta			PreservedSpecimen			UNITED STATES	
urn:uuid:1127aaa5-3a46-4d6a-80fc-5fe14e4d6241	Insecta		en			Papilionidae		(Linnaeus, 1771)	GA		Lepidoptera	PreservedSpecimen						TTRS	Battus			Arthropoda		Female				Species			public	http://www.morphbank.net/586894	Animalia				2011-10-17 13:27:37.0		US		Battus philenor			L Harris			Papilionidae Animalia Hexapoda Battina Lepidoptera Neoptera Battus philenor Troidini Arthropoda Papilionoidea Pterygota Papilioninae Battus Insecta			PreservedSpecimen	Grady		UNITED STATES	
urn:uuid:3f2bc057-5476-4e0a-88ca-8171cd55c570	Insecta		en			Papilionidae		(Linnaeus, 1771)	GA		Lepidoptera	PreservedSpecimen						TTRS	Battus	Harris Trail, Atlanta		Arthropoda						Species			public	http://www.morphbank.net/586897	Animalia				2011-10-17 13:27:37.0		US		Battus philenor			L Harris			Papilionidae Animalia Hexapoda Battina Lepidoptera Neoptera Battus philenor Troidini Arthropoda Papilionoidea Pterygota Papilioninae Battus Insecta			PreservedSpecimen			UNITED STATES	
urn:uuid:287cd99a-ab7e-4fd0-ac63-8c885d4ed0fa	Insecta		en			Papilionidae		(Linnaeus, 1771)	GA		Lepidoptera	PreservedSpecimen						TTRS	Battus	Atlanta		Arthropoda		Male				Species			public	http://www.morphbank.net/586900	Animalia				2011-10-17 13:27:37.0		US		Battus philenor			Lucien Harris III			Papilionidae Animalia Hexapoda Battina Lepidoptera Neoptera Battus philenor Troidini Arthropoda Papilionoidea Pterygota Papilioninae Battus Insecta			PreservedSpecimen			UNITED STATES	
urn:uuid:c0edca07-c7a9-4574-ab6e-4f2e04b9e1fa	Insecta		en			Papilionidae		(Linnaeus, 1771)	GA		Lepidoptera	PreservedSpecimen						TTRS	Battus	The Briar patch		Arthropoda		Male				Species			public	http://www.morphbank.net/586903	Animalia				2011-10-17 13:27:37.0		US		Battus philenor			Louise Harris			Papilionidae Animalia Hexapoda Battina Lepidoptera Neoptera Battus philenor Troidini Arthropoda Papilionoidea Pterygota Papilioninae Battus Insecta			PreservedSpecimen	Grady		UNITED STATES	
