id,institutionCode,collectionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
6668995,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89400,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer saccharum subsp. leucoderme,(Small) Desmarais,Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Florida,,,,,,,,,,,,,,,,,,,,,,,en,,7/13/15 11:23,http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ae68fa78-a74c-426a-8429-e8851520a39c,http://sernecportal.org/portal/collections/individual/index.php?occid=6668995
6668996,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89401,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer saccharum subsp. leucoderme,(Small) Desmarais,Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Florida,,,,,,,,,,,,,,,,,,,,,,,en,,7/13/15 11:23,http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c47c0e58-4e82-460b-b1b4-48690aecaddb,http://sernecportal.org/portal/collections/individual/index.php?occid=6668996
6669004,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89411,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer saccharum subsp. leucoderme,(Small) Desmarais,Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Florida,,,,,,,,,,,,,,,,,,,,,,,en,,7/13/15 11:23,http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:39ffadd0-ab7d-4e36-a326-a8bd0aa0be46,http://sernecportal.org/portal/collections/individual/index.php?occid=6669004
6669005,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89410,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer saccharum subsp. leucoderme,(Small) Desmarais,Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Florida,,,,,,,,,,,,,,,,,,,,,,,en,,7/13/15 11:23,http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:fa1a5d74-d195-48e6-bab1-26ca649e9686,http://sernecportal.org/portal/collections/individual/index.php?occid=6669005
6669006,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89409,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer saccharum subsp. leucoderme,(Small) Desmarais,Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Florida,,,,,,,,,,,,,,,,,,,,,,,en,,7/13/15 11:23,http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8383fecc-ddc8-40cc-8e6d-fc83b39db66e,http://sernecportal.org/portal/collections/individual/index.php?occid=6669006
6669007,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89408,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer saccharum subsp. leucoderme,(Small) Desmarais,Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Florida,,,,,,,,,,,,,,,,,,,,,,,en,,7/13/15 11:23,http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:a85a9ba6-be62-4d8a-91be-51ad77be4b42,http://sernecportal.org/portal/collections/individual/index.php?occid=6669007
6669008,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89403,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer saccharum subsp. leucoderme,(Small) Desmarais,Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Florida,,,,,,,,,,,,,,,,,,,,,,,en,,7/13/15 11:23,http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c7c5a4d6-52bd-4a2a-a6b4-5466156f03bd,http://sernecportal.org/portal/collections/individual/index.php?occid=6669008
6669009,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89402,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer saccharum subsp. leucoderme,(Small) Desmarais,Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Florida,,,,,,,,,,,,,,,,,,,,,,,en,,7/13/15 11:23,http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:946fa717-da7b-4bc3-9948-203fbef69e0e,http://sernecportal.org/portal/collections/individual/index.php?occid=6669009
6669010,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89399,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer saccharum subsp. leucoderme,(Small) Desmarais,Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Florida,,,,,,,,,,,,,,,,,,,,,,,en,,7/13/15 11:23,http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:018e34ac-268b-4c29-b329-defa719df7fc,http://sernecportal.org/portal/collections/individual/index.php?occid=6669010
6669011,FSU,,5082277f-dd49-4b22-9e2d-746d2fb233b4,PreservedSpecimen,,89398,,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer saccharum subsp. leucoderme,(Small) Desmarais,Acer,saccharum,subsp.,leucoderme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Florida,,,,,,,,,,,,,,,,,,,,,,,en,,7/13/15 11:23,http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:04025ad9-7a46-4840-90bd-3ecee270b6da,http://sernecportal.org/portal/collections/individual/index.php?occid=6669011
